,WP_010874243,WP_010874242,WP_010874241,Database
Synechococcaceae,60.0,61.0,59.0,63.0
Nostocaceae,33.0,33.0,33.0,34.0
Prochlorococcaceae,21.0,20.0,4.0,21.0
Aphanizomenonaceae,14.0,14.0,14.0,14.0
Calotrichaceae,11.0,11.0,11.0,11.0
Microcystaceae,10.0,10.0,10.0,10.0
Leptolyngbyaceae,9.0,10.0,10.0,10.0
Merismopediaceae,8.0,8.0,8.0,13.0
Microcoleaceae,8.0,9.0,9.0,16.0
Aphanothecaceae,8.0,6.0,6.0,8.0
Thermosynechococcaceae,5.0,5.0,5.0,5.0
Chroococcaceae,5.0,5.0,5.0,5.0
Oscillatoriaceae,4.0,4.0,4.0,4.0
unknown,3.0,2.0,3.0,3.0
Scytonemataceae,3.0,3.0,3.0,3.0
Chroococcidiopsidaceae,3.0,3.0,3.0,3.0
Dermocarpellaceae,2.0,2.0,2.0,2.0
Hapalosiphonaceae,2.0,2.0,2.0,2.0
Oculatellaceae,2.0,2.0,2.0,2.0
Tolypothrichaceae,2.0,2.0,2.0,2.0
Pseudanabaenaceae,2.0,2.0,2.0,2.0
Coleofasciculaceae,2.0,2.0,2.0,2.0
Acaryochloridaceae,2.0,3.0,3.0,3.0
Sirenicapillariaceae,2.0,2.0,2.0,2.0
Gloeomargaritaceae,1.0,1.0,1.0,1.0
Hyellaceae,1.0,1.0,1.0,1.0
Rivulariaceae,1.0,1.0,1.0,1.0
Gloeobacteraceae,1.0,0.0,0.0,3.0
Thermostichaceae,1.0,1.0,1.0,1.0
Geminocystaceae,1.0,1.0,1.0,1.0
Chamaesiphonaceae,1.0,1.0,1.0,1.0
Prochlorotrichaceae,1.0,1.0,1.0,1.0
Gomontiellaceae,1.0,1.0,1.0,1.0
