,WP_010874243,WP_010874242,WP_010874241,Database
Synechococcus,59.0,60.0,58.0,62.0
Nostoc,23.0,23.0,23.0,23.0
Prochlorococcus,17.0,17.0,0.0,17.0
Calothrix,11.0,11.0,11.0,11.0
Microcystis,10.0,10.0,10.0,10.0
Synechocystis,8.0,8.0,8.0,13.0
Leptolyngbya,7.0,8.0,8.0,8.0
Thermosynechococcus,5.0,5.0,5.0,5.0
Dolichospermum,4.0,4.0,4.0,4.0
Cylindrospermopsis,4.0,4.0,4.0,4.0
Planktothrix,4.0,5.0,5.0,12.0
Trichormus,4.0,4.0,4.0,4.0
Anabaena,4.0,4.0,4.0,5.0
Chroococcidiopsis,3.0,3.0,3.0,3.0
Geminocystis,3.0,3.0,3.0,3.0
Cyanobium,3.0,2.0,3.0,3.0
Limnospira,2.0,2.0,2.0,2.0
Candidatus Atelocyanobacterium,2.0,0.0,0.0,2.0
Fischerella,2.0,2.0,2.0,2.0
Sphaerospermopsis,2.0,2.0,2.0,2.0
unknown,2.0,1.0,2.0,2.0
Microcoleus,2.0,2.0,2.0,2.0
Nodularia,2.0,2.0,2.0,2.0
Moorena,2.0,2.0,2.0,2.0
Tolypothrix,2.0,2.0,2.0,2.0
Oscillatoria,2.0,2.0,2.0,2.0
Stanieria,2.0,2.0,2.0,2.0
Pseudanabaena,2.0,2.0,2.0,2.0
Gloeothece,2.0,2.0,2.0,2.0
Acaryochloris,2.0,3.0,3.0,3.0
Thermoleptolyngbya,2.0,2.0,2.0,2.0
Scytonema,2.0,2.0,2.0,2.0
Anabaenopsis,2.0,2.0,2.0,2.0
Kovacikia,1.0,1.0,1.0,1.0
Rivularia,1.0,1.0,1.0,1.0
Cyanobacterium,1.0,1.0,1.0,1.0
Leptothermofonsia,1.0,1.0,1.0,1.0
Chondrocystis,1.0,1.0,1.0,1.0
Geitlerinema,1.0,1.0,1.0,1.0
Oxynema,1.0,1.0,1.0,1.0
Koinonema,1.0,1.0,1.0,1.0
Gloeomargarita,1.0,1.0,1.0,1.0
Brasilonema,1.0,1.0,1.0,1.0
Euhalothece,1.0,1.0,1.0,1.0
Allocoleopsis,1.0,1.0,1.0,1.0
Crinalium,1.0,1.0,1.0,1.0
Cylindrospermum,1.0,1.0,1.0,1.0
Anthocerotibacter,1.0,0.0,0.0,1.0
Pleurocapsa,1.0,1.0,1.0,1.0
Gloeocapsa,1.0,1.0,1.0,1.0
Thermostichus,1.0,1.0,1.0,1.0
Parasynechococcus,1.0,1.0,1.0,1.0
Richelia,1.0,1.0,1.0,1.0
Halomicronema,1.0,1.0,1.0,1.0
Arthrospira,1.0,1.0,1.0,1.0
Dactylococcopsis,1.0,1.0,1.0,1.0
Rippkaea,1.0,1.0,1.0,1.0
Crocosphaera,1.0,1.0,1.0,1.0
Halothece,1.0,1.0,1.0,1.0
Chamaesiphon,1.0,1.0,1.0,1.0
Gloeobacter,0.0,0.0,0.0,2.0
