,Acaryochloridaceae,Aphanizomenonaceae,Aphanothecaceae,Calotrichaceae,Chamaesiphonaceae,Chroococcaceae,Chroococcidiopsidaceae,Coleofasciculaceae,Dermocarpellaceae,Geminocystaceae,Gloeobacteraceae,Gloeomargaritaceae,Gomontiellaceae,Hapalosiphonaceae,Hyellaceae,Leptolyngbyaceae,Merismopediaceae,Microcoleaceae,Microcystaceae,Nostocaceae,Oculatellaceae,Oscillatoriaceae,Prochlorococcaceae,Prochlorotrichaceae,Pseudanabaenaceae,Rivulariaceae,Scytonemataceae,Sirenicapillariaceae,Synechococcaceae,Thermostichaceae,Thermosynechococcaceae,Tolypothrichaceae,unknown
WP_010874243,66.66666666666667,100.0,100.0,100.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0,33.333333333333336,100.0,100.0,100.0,100.0,90.0,61.53846153846154,50.0,100.0,97.05882352941177,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.23809523809523,100.0,100.0,100.0,100.0
WP_010874242,100.0,100.0,75.0,100.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,61.53846153846154,56.25,100.0,97.05882352941177,100.0,100.0,95.23809523809524,100.0,100.0,100.0,100.0,100.0,96.82539682539682,100.0,100.0,100.0,66.66666666666667
WP_010874241,100.0,100.0,75.0,100.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,61.53846153846154,56.25,100.0,97.05882352941177,100.0,100.0,19.047619047619047,100.0,100.0,100.0,100.0,100.0,93.65079365079364,100.0,100.0,100.0,100.0
