,sacc_transformed,qseqid,staxids,sseqid,pident,evalue,bitscore,qgi,sgi,sacc,sscinames,scomnames,stitle
0,WP_010874243,WP_010874243,2116702,WP_010874243.1_GCF_003015225.1_ASM301522v1,100.0,0.0,1063.0,0,0,WP_010874243.1_GCF_003015225.1_ASM301522v1,Synechocystis sp. IPPAS B-1465,Synechocystis sp. IPPAS B-1465,MULTISPECIES: circadian clock protein KaiC [unclassified Synechocystis]
1,WP_010874243,WP_010874243,1080230,WP_010874243.1_GCF_000284455.1_ASM28445v1,100.0,0.0,1063.0,0,0,WP_010874243.1_GCF_000284455.1_ASM28445v1,Synechocystis sp. PCC 6803 substr. PCC-P,Synechocystis sp. PCC 6803 substr. PCC-P,MULTISPECIES: circadian clock protein KaiC [unclassified Synechocystis]
2,WP_010874243,WP_010874243,1080229,WP_010874243.1_GCF_000284215.1_ASM28421v1,100.0,0.0,1063.0,0,0,WP_010874243.1_GCF_000284215.1_ASM28421v1,Synechocystis sp. PCC 6803 substr. PCC-N,Synechocystis sp. PCC 6803 substr. PCC-N,MULTISPECIES: circadian clock protein KaiC [unclassified Synechocystis]
3,WP_010874243,WP_010874243,1080228,WP_010874243.1_GCF_000284135.1_ASM28413v1,100.0,0.0,1063.0,0,0,WP_010874243.1_GCF_000284135.1_ASM28413v1,Synechocystis sp. PCC 6803 substr. GT-I,Synechocystis sp. PCC 6803 substr. GT-I,MULTISPECIES: circadian clock protein KaiC [unclassified Synechocystis]
4,WP_010874243,WP_010874243,1148,WP_010874243.1_GCF_022869765.1_ASM2286976v1,100.0,0.0,1063.0,0,0,WP_010874243.1_GCF_022869765.1_ASM2286976v1,Synechocystis sp. PCC 6803,Synechocystis sp. PCC 6803,MULTISPECIES: circadian clock protein KaiC [unclassified Synechocystis]
5,WP_162329391,WP_010874243,1933929,WP_162329391.1_GCF_010222815.1_ASM1022281v1,99.615,0.0,1058.0,0,0,WP_162329391.1_GCF_010222815.1_ASM1022281v1,Synechocystis sp. CACIAM 05,Synechocystis sp. CACIAM 05,circadian clock protein KaiC [Synechocystis sp. CACIAM 05]
6,WP_194015373,WP_010874243,2732530,WP_194015373.1_GCF_018282115.1_ASM1828211v1,99.229,0.0,1053.0,0,0,WP_194015373.1_GCF_018282115.1_ASM1828211v1,Synechocystis sp. PCC 7338,Synechocystis sp. PCC 7338,MULTISPECIES: circadian clock protein KaiC [Synechocystis]
7,WP_028947077,WP_010874243,1147,WP_028947077.1_GCF_000478825.2_ASM47882v2,98.844,0.0,1049.0,0,0,WP_028947077.1_GCF_000478825.2_ASM47882v2,Synechocystis sp. PCC 6714,Synechocystis sp. PCC 6714,circadian clock protein KaiC [Synechocystis sp. PCC 6714]
8,WP_015145807,WP_010874243,118163,WP_015145807.1_GCF_000317025.1_ASM31702v1,90.366,0.0,974.0,0,0,WP_015145807.1_GCF_000317025.1_ASM31702v1,Pleurocapsa sp. PCC 7327,Pleurocapsa sp. PCC 7327,circadian clock protein KaiC [Pleurocapsa sp. PCC 7327]
9,WP_012598007,WP_010874243,65393,WP_012598007.1_GCF_000021825.1_ASM2182v1,90.329,0.0,965.0,0,0,WP_012598007.1_GCF_000021825.1_ASM2182v1,Gloeothece citriformis PCC 7424,Gloeothece citriformis PCC 7424,circadian clock protein KaiC [Gloeothece citriformis]
