,sacc_transformed,qseqid,staxids,sseqid,pident,evalue,bitscore,qgi,sgi,sacc,sscinames,scomnames,stitle,organism_name_taxdb,genus,family,superfamily,order,class,phylum,query_info
0,WP_010874243,WP_010874243,2116702,WP_010874243.1_GCF_003015225.1_ASM301522v1,100.0,0.0,1063.0,0,0,WP_010874243.1_GCF_003015225.1_ASM301522v1,Synechocystis sp. IPPAS B-1465,Synechocystis sp. IPPAS B-1465,MULTISPECIES: circadian clock protein KaiC [unclassified Synechocystis],Synechocystis sp. IPPAS B-1465,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiC [unclassified Synechocystis]
1,WP_010874242,WP_010874242,2116702,WP_010874242.1_GCF_003015225.1_ASM301522v1,100.0,2.33e-70,208.0,0,0,WP_010874242.1_GCF_003015225.1_ASM301522v1,Synechocystis sp. IPPAS B-1465,Synechocystis sp. IPPAS B-1465,MULTISPECIES: circadian clock protein KaiB [Synechocystis],Synechocystis sp. IPPAS B-1465,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiB [Synechocystis]
2,WP_010874241,WP_010874241,2116702,WP_010874241.1_GCF_003015225.1_ASM301522v1,100.0,0.0,608.0,0,0,WP_010874241.1_GCF_003015225.1_ASM301522v1,Synechocystis sp. IPPAS B-1465,Synechocystis sp. IPPAS B-1465,MULTISPECIES: circadian clock protein KaiA [unclassified Synechocystis],Synechocystis sp. IPPAS B-1465,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiA [unclassified Synechocystis]
3,WP_010874243,WP_010874243,1080230,WP_010874243.1_GCF_000284455.1_ASM28445v1,100.0,0.0,1063.0,0,0,WP_010874243.1_GCF_000284455.1_ASM28445v1,Synechocystis sp. PCC 6803 substr. PCC-P,Synechocystis sp. PCC 6803 substr. PCC-P,MULTISPECIES: circadian clock protein KaiC [unclassified Synechocystis],Synechocystis sp. PCC 6803 substr. PCC-P,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiC [unclassified Synechocystis]
4,WP_010874242,WP_010874242,1080230,WP_010874242.1_GCF_000284455.1_ASM28445v1,100.0,2.33e-70,208.0,0,0,WP_010874242.1_GCF_000284455.1_ASM28445v1,Synechocystis sp. PCC 6803 substr. PCC-P,Synechocystis sp. PCC 6803 substr. PCC-P,MULTISPECIES: circadian clock protein KaiB [Synechocystis],Synechocystis sp. PCC 6803 substr. PCC-P,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiB [Synechocystis]
5,WP_010874241,WP_010874241,1080230,WP_010874241.1_GCF_000284455.1_ASM28445v1,100.0,0.0,608.0,0,0,WP_010874241.1_GCF_000284455.1_ASM28445v1,Synechocystis sp. PCC 6803 substr. PCC-P,Synechocystis sp. PCC 6803 substr. PCC-P,MULTISPECIES: circadian clock protein KaiA [unclassified Synechocystis],Synechocystis sp. PCC 6803 substr. PCC-P,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiA [unclassified Synechocystis]
6,WP_010874243,WP_010874243,1080229,WP_010874243.1_GCF_000284215.1_ASM28421v1,100.0,0.0,1063.0,0,0,WP_010874243.1_GCF_000284215.1_ASM28421v1,Synechocystis sp. PCC 6803 substr. PCC-N,Synechocystis sp. PCC 6803 substr. PCC-N,MULTISPECIES: circadian clock protein KaiC [unclassified Synechocystis],Synechocystis sp. PCC 6803 substr. PCC-N,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiC [unclassified Synechocystis]
7,WP_010874242,WP_010874242,1080229,WP_010874242.1_GCF_000284215.1_ASM28421v1,100.0,2.33e-70,208.0,0,0,WP_010874242.1_GCF_000284215.1_ASM28421v1,Synechocystis sp. PCC 6803 substr. PCC-N,Synechocystis sp. PCC 6803 substr. PCC-N,MULTISPECIES: circadian clock protein KaiB [Synechocystis],Synechocystis sp. PCC 6803 substr. PCC-N,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiB [Synechocystis]
8,WP_010874241,WP_010874241,1080229,WP_010874241.1_GCF_000284215.1_ASM28421v1,100.0,0.0,608.0,0,0,WP_010874241.1_GCF_000284215.1_ASM28421v1,Synechocystis sp. PCC 6803 substr. PCC-N,Synechocystis sp. PCC 6803 substr. PCC-N,MULTISPECIES: circadian clock protein KaiA [unclassified Synechocystis],Synechocystis sp. PCC 6803 substr. PCC-N,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiA [unclassified Synechocystis]
9,WP_010874243,WP_010874243,1080228,WP_010874243.1_GCF_000284135.1_ASM28413v1,100.0,0.0,1063.0,0,0,WP_010874243.1_GCF_000284135.1_ASM28413v1,Synechocystis sp. PCC 6803 substr. GT-I,Synechocystis sp. PCC 6803 substr. GT-I,MULTISPECIES: circadian clock protein KaiC [unclassified Synechocystis],Synechocystis sp. PCC 6803 substr. GT-I,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiC [unclassified Synechocystis]
