,Acaryochloris,Allocoleopsis,Anabaena,Anabaenopsis,Anthocerotibacter,Arthrospira,Brasilonema,Calothrix,Candidatus Atelocyanobacterium,Chamaesiphon,Chondrocystis,Chroococcidiopsis,Crinalium,Crocosphaera,Cyanobacterium,Cyanobium,Cylindrospermopsis,Cylindrospermum,Dactylococcopsis,Dolichospermum,Euhalothece,Fischerella,Geitlerinema,Geminocystis,Gloeobacter,Gloeocapsa,Gloeomargarita,Gloeothece,Halomicronema,Halothece,Koinonema,Kovacikia,Leptolyngbya,Leptothermofonsia,Limnospira,Microcoleus,Microcystis,Moorena,Nodularia,Nostoc,Oscillatoria,Oxynema,Parasynechococcus,Planktothrix,Pleurocapsa,Prochlorococcus,Pseudanabaena,Richelia,Rippkaea,Rivularia,Scytonema,Sphaerospermopsis,Stanieria,Synechococcus,Synechocystis,Thermoleptolyngbya,Thermostichus,Thermosynechococcus,Tolypothrix,Trichormus,unknown
WP_010874243,66.66666666666667,100.0,80.0,100.0,100.0,100.0,100.0,100.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.333333333333336,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.16129032258064,61.53846153846154,100.0,100.0,100.0,100.0,100.0,100.0
WP_010874242,100.0,100.0,80.0,100.0,0.0,100.0,100.0,100.00000000000001,0.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.77419354838709,61.53846153846154,100.0,100.0,100.0,100.0,100.0,50.0
WP_010874241,100.0,100.0,80.0,100.0,0.0,100.0,100.0,100.00000000000001,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41.66666666666667,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.54838709677419,61.53846153846154,100.0,100.0,100.0,100.0,100.0,100.0
