forward_genome_id	backward_genome_id	staxids
WP_010874243	WP_010874243	2116702
WP_010874243	WP_010874243	1080230
WP_010874243	WP_010874243	1080229
WP_010874243	WP_010874243	1080228
WP_010874243	WP_010874243	1148
WP_162329391	WP_010874243	1933929
WP_194015373	WP_010874243	2732530
WP_028947077	WP_010874243	1147
WP_015145807	WP_010874243	118163
WP_012598007	WP_010874243	65393
WP_015785209	WP_010874243	41431
WP_013321813	WP_010874243	497965
WP_009546510	WP_010874243	43989
WP_002775266	WP_010874243	449468
WP_002743493	WP_010874243	267865
WP_002743493	WP_010874243	1903187
WP_015221080	WP_010874243	755178
WP_002733602	WP_010874243	2686288
WP_046662386	WP_010874243	1698524
WP_046662386	WP_010874243	1641812
WP_008200829	WP_010874243	1967666
WP_002760201	WP_010874243	1126
WP_012266128	WP_010874243	213615
WP_012266128	WP_010874243	449447
WP_066118609	WP_010874243	1617448
WP_017293902	WP_010874243	113355
WP_015133074	WP_010874243	111781
WP_012305921	WP_010874243	195248
WP_012305921	WP_010874243	195498
WP_012305921	WP_010874243	374982
WP_012305921	WP_010874243	32049
WP_012305921	WP_010874243	2579791
WP_066343581	WP_010874243	1615909
WP_024546040	WP_010874243	1827144
WP_096385122	WP_010874243	1807358
WP_065713014	WP_010874243	374981
WP_015191648	WP_010874243	111780
WP_119259528	WP_010874243	1763363
WP_096717845	WP_010874243	2005460
WP_015180368	WP_010874243	1173027
WP_199248352	WP_010874243	222819
WP_168568048	WP_010874243	2064643
WP_172356476	WP_010874243	2811482
WP_172356476	WP_010874243	2737172
WP_137985830	WP_010874243	1454205
WP_044105888	WP_010874243	1228987
WP_224341588	WP_010874243	2653194
WP_096581016	WP_010874243	1085406
WP_062294774	WP_010874243	224013
WP_015112918	WP_010874243	317936
WP_017289887	WP_010874243	462680
WP_017289887	WP_010874243	1973484
WP_017289887	WP_010874243	1260963
WP_017289887	WP_010874243	411966
WP_149031314	WP_010874243	1458985
WP_015158125	WP_010874243	1173020
WP_068383803	WP_010874243	1752064
WP_103139267	WP_010874243	1869241
WP_015173272	WP_010874243	1173025
WP_015140004	WP_010874243	28072
WP_223046909	WP_010874243	2016068
WP_242723083	WP_010874243	2303329
WP_179051141	WP_010874243	2576904
WP_080810497	WP_010874243	1641165
WP_096592860	WP_010874243	1954171
WP_006632120	WP_010874243	669365
WP_198804675	WP_010874243	1115757
WP_015202680	WP_010874243	1173022
WP_015131317	WP_010874243	99598
WP_190604341	WP_010874243	1357546
WP_096624704	WP_010874243	2005462
WP_015225155	WP_010874243	65093
WP_011317866	WP_010874243	375899
WP_011317866	WP_010874243	2490939
WP_011317866	WP_010874243	240292
WP_015197562	WP_010874243	1170562
WP_010997037	WP_010874243	103690
WP_010997037	WP_010874243	1973479
WP_096540976	WP_010874243	1091006
WP_015179606	WP_010874243	179408
WP_096641764	WP_010874243	1973478
WP_015208712	WP_010874243	56107
WP_006276130	WP_010874243	683357
WP_006276130	WP_010874243	1524929
WP_006276130	WP_010874243	2108055
WP_067763280	WP_010874243	1751286
WP_206264441	WP_010874243	2814655
WP_114082481	WP_010874243	2576903
WP_114082481	WP_010874243	76335
WP_179066880	WP_010874243	2576902
WP_096670962	WP_010874243	1973481
WP_118162030	WP_010874243	2653204
WP_118162030	WP_010874243	446679
WP_104909078	WP_010874243	1618022
WP_012409410	WP_010874243	63737
WP_096682382	WP_010874243	1973475
WP_096603843	WP_010874243	1954172
WP_006198953	WP_010874243	313624
WP_096581105	WP_010874243	231146
WP_107806173	WP_010874243	1914872
WP_094328523	WP_010874243	1261031
WP_061545690	WP_010874243	2666332
WP_174711929	WP_010874243	2572090
WP_027401467	WP_010874243	747523
WP_027401467	WP_010874243	1647413
WP_187038728	WP_010874243	984208
WP_100901656	WP_010874243	2038116
WP_015215369	WP_010874243	272123
WP_223978870	WP_010874243	2853227
WP_015081530	WP_010874243	315271
WP_015081530	WP_010874243	46234
WP_167723023	WP_010874243	2099387
WP_096558640	WP_010874243	2005458
WP_096571702	WP_010874243	1973480
WP_181929201	WP_010874243	1472755
WP_148765326	WP_010874243	1914871
WP_096693640	WP_010874243	2005469
WP_096693640	WP_010874243	2005463
WP_013193181	WP_010874243	551115
WP_035155584	WP_010874243	1337936
WP_072717062	WP_010874243	1678309
WP_251957492	WP_010874243	449208
WP_200989561	WP_010874243	2779889
WP_042155534	WP_010874243	1160
WP_042155534	WP_010874243	388467
WP_026788630	WP_010874243	329571
WP_181494621	WP_010874243	2016101
WP_171977192	WP_010874243	415709
WP_012161596	WP_010874243	329726
WP_011056334	WP_010874243	197221
WP_011056334	WP_010874243	1394889
WP_027249725	WP_010874243	1160
WP_099797677	WP_010874243	1917166
WP_208677543	WP_010874243	2283154
WP_206199963	WP_010874243	2813673
WP_015123058	WP_010874243	195253
WP_208673131	WP_010874243	2219813
WP_015188904	WP_010874243	1173026
WP_011242648	WP_010874243	2479200
WP_011242648	WP_010874243	1350461
WP_011242648	WP_010874243	269084
WP_015119208	WP_010874243	373994
WP_073634258	WP_010874243	1137095
WP_250123415	WP_010874243	155894
WP_006623299	WP_010874243	459495
WP_006623299	WP_010874243	2759955
WP_006623299	WP_010874243	376219
WP_096564587	WP_010874243	2005464
WP_149818900	WP_010874243	2583530
WP_096675814	WP_010874243	2005456
WP_062249961	WP_010874243	1752063
WP_096656126	WP_010874243	1973488
WP_015230934	WP_010874243	13035
WP_106165959	WP_010874243	2653189
WP_222597902	WP_010874243	522448
WP_015155513	WP_010874243	251229
WP_212662282	WP_010874243	2762553
WP_017324097	WP_010874243	195250
WP_015147793	WP_010874243	56110
WP_229637098	WP_010874243	1285375
WP_011432142	WP_010874243	321332
WP_011430722	WP_010874243	321327
WP_197151359	WP_010874243	1353147
WP_071455441	WP_010874243	1188229
WP_087068717	WP_010874243	1851505
WP_186479706	WP_010874243	1442555
